,title,originallink,link,description,pubDate
0,"[단독]박보검, 해군 지원→8월31일 입대 예정..'원더랜드'·'청춘기록' 촬영中...",http://star.mt.co.kr/stview.php?no=2020060208235742057,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=108&aid=0002867436,"박보검은 입대 전, 영화 '원더랜드'와 드라마 '청춘기록'의 촬영을 모두 완료할 계획이다. 2일 소속사... 또한 박보검은 현재 영화 '원더랜드'(감독 김태용)과 tvN드라마 '청춘기록'에 캐스팅돼 현재 동시 촬영 중이다.... ","Tue, 02 Jun 2020 09:05:00 +0900"
1,BTS 슈가 앨범 '빌보드 200' 11위…한국 솔로 최고기록,https://biz.chosun.com/site/data/html_dir/2020/06/02/2020060201126.html?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=366&aid=0000531981,최고 기록이다. 빌보드 차트 공식 트위터 계정은 이날 최신 빌보드 200 차트 데뷔 앨범을 소개하는 트윗에서 슈가가 활동명 ‘어거스트 디(Agust D)’로 공개한 믹스테이프 앨범 ‘D-2’가 11위를 기록했다고... ,"Tue, 02 Jun 2020 09:39:00 +0900"
2,BTS 슈가 믹스테이프 '빌보드 200' 11위…한국 솔로 최고기록,http://yna.kr/AKR20200602032000005?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=001&aid=0011648681,11위를 기록했다고 밝혔다. 이는 한국 솔로 가수 앨범이 '빌보드 200'에서 세운 최고 기록이다. 최근 '빌보드 200'에서 한국 솔로 최고 기록을 경신한 가수들은 모두 방탄소년단 멤버들이다. 방탄소년단 제이홉은... ,"Tue, 02 Jun 2020 08:32:00 +0900"
3,박물관·교회 갈 때 QR코드 찍어야…“개인정보·방문기록 보관”,https://www.donga.com/news/article/all/20200601/101300205/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003289309,시설관리자는 시설관리자용 애플리케이션으로 이용자의 QR코드를 인식해 방문 기록을 생성해야 한다. 사회보장정보원은 시설관리자용 애플리케이션을 통해 수집된 시설정보 및 이용자의 방문 기록을 저장‧관리하게... ,"Mon, 01 Jun 2020 09:39:00 +0900"
4,[앵커리포트] 클럽·노래방 '휴대전화 필수'...QR코드 기록 어떻게?,https://www.ytn.co.kr/_ln/0103_202006011301171365,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001446928,"오늘부터 클럽과 헌팅포차, 노래방 같은 코로나19 전파 우려가 큰 시설에 가려면 QR코드를 찍어 방문 기록을... 미기록 시 3백만 원 이하 벌금을 내야 합니다. [윤태호 / 중앙사고수습본부 방역총괄반장 : 6월 10일부터는... ","Mon, 01 Jun 2020 13:01:00 +0900"
5,국내 1호 잠수함 장보고함 '48만㎞ 무사고' 기록,https://www.sedaily.com/NewsView/1Z3UWOVDG1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003746736,"우리나라의 1호 잠수함인 장보고함이 ‘30만마일(48만2,800㎞) 무사고 항해’라는 기록을 달성했다. 해군이... 대기록을 달성했다”며 “그 비결은 잠수함 승조원 양성에 있어 1대1의 엄격한 교육훈련에 있다”고... ","Mon, 01 Jun 2020 13:36:00 +0900"
6,'전일빌딩 탄흔·군 기록' 5·18 헬기 사격 존재 입증(종합),https://www.nocutnews.co.kr/news/5353705,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003366864,두 번째 증인으로 나선 김희송 교수는 당시 작전지침 등 군 기록을 살펴보면 공중지원 명령이 있었음을... 전씨 측은 그동안 군 기록이 없다는 것을 근거로 헬기사격을 부인해왔는데 정면으로 대치되는 부분이다. 김... ,"Tue, 02 Jun 2020 06:53:00 +0900"
7,"리니지2M, 1분기 전세계 구글플레이 매출 1위 기록",http://game.donga.com/95502/,http://game.donga.com/95502/,이번 보고서에 따르면 앱애니는 2020년은 모바일 게임과 모바일 시장 전반에 있어 기록적인 앱... 모바일 게임은 2014년부터 소비자 지출 부문에서 PC/Mac 게임과 가정용 콘솔 게임을 추월하면서 기록적인 성장을... ,"Mon, 01 Jun 2020 13:28:00 +0900"
8,"박보검, `원더랜드·청춘기록` 동시 촬영 중…입대 전 끝낸다",http://star.mk.co.kr/new/view.php?mc=ST&year=2020&no=561706,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=009&aid=0004586857,"배우 박보검(27)이 '원더랜드'와 '청춘기록'을 동시 촬영 중이다. 해군 문화 홍보단 입대가 확정될 경우, 그... 박보검은 이용주 감독의 '서복' 촬영도 이미 마쳤으며 김태용 감독의 '원더랜드', tvN드라마 '청춘기록'도 찍고... ","Tue, 02 Jun 2020 09:13:00 +0900"
9,"라네즈 ‘수분에센스’ 스테디셀링 1,700만개 판매 기록",http://isplus.live.joins.com/news/article/aid.asp?aid=23385548,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=241&aid=0003027535,"2010년 출시 이후 2020년 2월까지 전세계 누적 판매량 1,700만개를 기록한 것으로, ‘국민 수분에센스’는 물론 K-뷰티를 대표하는 기능성 수분에센스 제품이라 할 수 있다. 워터뱅크 에센스는 브랜드 대표 스테디셀링... ","Tue, 02 Jun 2020 08:59:00 +0900"
10,"트와이스, 'MORE  MORE'로 음원 차트 올킬···자체 최고 기록 수립",https://www.sedaily.com/NewsView/1Z3VCPNI4A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=011&aid=0003747179,"신보는 일본, 브라질, 인도네시아, 러시아 등 해외 30개 지역 아이튠즈 앨범 차트에서도 1위를 기록했다. 이로써 트와이스는 팀 자체 최고 기록을 수립하며 끝없는 성장세를 재입증했다. 타이틀곡 ’모어 앤드... ","Tue, 02 Jun 2020 09:38:00 +0900"
11,"병원서 쓰는 의무기록 전자관리 시스템, 인증기준·절차 마련",http://yna.kr/AKR20200601065800530?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011646957,"복지, 전자의무기록시스템 제도 운영에 관한 고시 1일부터 시행 보건복지부는 각 병원에서 사용하는 전자의무기록시스템(EMR)을 인증하는 기준과 방법 등을 정한 '전자의무기록시스템 인증제도 운영에 관한 고시'를... ","Mon, 01 Jun 2020 12:00:00 +0900"
12,김홍영 검사의 죽음…유족 요청에도 '감찰 기록' 비공개,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11953281,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=437&aid=0000239459,진상을 밝힐 '감찰 기록'도 검찰은 유족에게 공개하지 않고 있습니다. 먼저 조보경 기자입니다. 2016년... 폭언과 폭행의 더 상세한 내용은 검찰의 감찰기록에 담겼을 것으로 보입니다. 하지만 검찰은 이 기록을 유족에게... ,"Mon, 01 Jun 2020 21:41:00 +0900"
13,"“모바일 게임 다운로드·지출, 기록적 성장 보일 것”",http://news.kmib.co.kr/article/view.asp?arcid=0014641789&code=61151111&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=005&aid=0001327269,신종 코로나바이러스감염증(코로나19) 확산으로 올해 모바일게임이 역대급 기록적인 성장세를 보일 거란... 123억건을 기록했다. 소비자 지출의 경우 약 2% 증가한 166억 달러(약 20조3100억원)에 달했다. 주 평균... ,"Mon, 01 Jun 2020 17:11:00 +0900"
14,5월 수출 23.7%↓ 두달연속 마이너스 기록,http://news.kbiz.or.kr/news/articleView.html?idxno=68039,http://news.kbiz.or.kr/news/articleView.html?idxno=68039,"코로나19 여파로 한국 수출이 두 달째 20%대 마이너스를 기록하며 부진을 이어갔다. 한국경제 버팀목인... 4월의 25.1% 감소보다는 다소 개선됐지만, 여전히 20%대 마이너스를 기록하며 부진의 늪에 빠진 모습이다.... ","Mon, 01 Jun 2020 16:54:00 +0900"
15,"'에이스' 박혜진 4연속 연봉 퀸, WKBL 최다 연속 기록",http://sports.chosun.com/news/ntype.htm?id=202006020100010280000417&servicedate=20200601,http://sports.news.naver.com/basketball/news/read.nhn?oid=076&aid=0003577173,이는 WKBL 단일리그가 시작된 2007~2008시즌 이래 최다 연속 연봉 퀸 기록. 안혜지는 FA 계약을 통해 생애 첫... 양인영(하나은행)과 박지현(우리은행) 등 5명은 생애 첫 억대 연봉을 기록하는 기쁨을 누렸다. 샐러리캡... ,"Mon, 01 Jun 2020 15:17:00 +0900"
16,'전자의무기록(EMR) 시스템 인증제' 1일부터 시행,http://www.etnews.com/20200601000196,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=030&aid=0002885569,각 병원에서 사용하는 전자의무기록(EMR) 시스템의 표준화를 유도해 환자 안전과 진료 연속성을 보장하고 표준데이터 활용 활성화를 도모하는 인증제가 시행된다. 보건복지부는 '전자의무기록시스템 인증제도 운영에... ,"Mon, 01 Jun 2020 13:46:00 +0900"
